file,n_size,difficulty,solved,nodes_expanded,time_seconds,solution_length,reason
4x4/faciles/72.txt,4,faciles,True,1065,0.0087,10,OK
4x4/faciles/73.txt,4,faciles,True,1042,0.0088,10,OK
4x4/faciles/74.txt,4,faciles,True,205,0.0002,6,OK
4x4/faciles/75.txt,4,faciles,True,1055,0.0086,10,OK
4x4/faciles/76.txt,4,faciles,True,1055,0.0091,10,OK
4x4/faciles/77.txt,4,faciles,True,1041,0.0083,10,OK
4x4/faciles/78.txt,4,faciles,True,1042,0.009,10,OK
4x4/faciles/79.txt,4,faciles,True,1042,0.0084,10,OK
4x4/faciles/80.txt,4,faciles,True,1067,0.0164,10,OK
4x4/faciles/81.txt,4,faciles,True,1041,0.0081,10,OK
4x4/faciles/82.txt,4,faciles,True,1055,0.0081,10,OK
4x4/faciles/83.txt,4,faciles,True,1057,0.0164,10,OK
4x4/faciles/84.txt,4,faciles,True,1055,0.0087,10,OK
4x4/faciles/85.txt,4,faciles,True,1055,0.009,10,OK
4x4/faciles/86.txt,4,faciles,True,1048,0.0087,10,OK
4x4/faciles/87.txt,4,faciles,True,1060,0.0086,10,OK
4x4/faciles/88.txt,4,faciles,True,1055,0.0091,10,OK
4x4/faciles/89.txt,4,faciles,True,1067,0.0163,10,OK
4x4/faciles/90.txt,4,faciles,True,1042,0.0084,10,OK
4x4/faciles/91.txt,4,faciles,True,1049,0.0075,10,OK
4x4/faciles/92.txt,4,faciles,True,1062,0.0162,10,OK
4x4/faciles/93.txt,4,faciles,True,1042,0.0085,10,OK
4x4/faciles/94.txt,4,faciles,True,1055,0.0087,10,OK
4x4/faciles/95.txt,4,faciles,True,1041,0.008,10,OK
4x4/faciles/96.txt,4,faciles,True,1057,0.0161,10,OK
4x4/faciles/97.txt,4,faciles,True,1041,0.008,10,OK
4x4/faciles/98.txt,4,faciles,True,1049,0.0088,10,OK
4x4/faciles/99.txt,4,faciles,True,1040,0.0084,10,OK
4x4/faciles/100.txt,4,faciles,True,205,0.0002,6,OK
4x4/medios/1.txt,4,medios,True,1677,0.0469,20,OK
4x4/medios/2.txt,4,medios,True,1105,0.0233,20,OK
4x4/medios/3.txt,4,medios,True,1088,0.0243,16,OK
4x4/medios/4.txt,4,medios,True,1107,0.0183,20,OK
4x4/medios/5.txt,4,medios,True,1401,0.0497,22,OK
4x4/medios/6.txt,4,medios,True,1054,0.0147,18,OK
4x4/medios/7.txt,4,medios,True,1098,0.0171,20,OK
4x4/medios/8.txt,4,medios,True,1584,0.047,20,OK
4x4/medios/9.txt,4,medios,True,1063,0.0141,18,OK
4x4/medios/10.txt,4,medios,True,1073,0.0151,18,OK
4x4/medios/11.txt,4,medios,True,1356,0.0488,20,OK
4x4/medios/12.txt,4,medios,True,1057,0.0145,18,OK
